page_id,book_id,catalog_generation,grade,viewer_page,selected_psm,recognized_words,mean_word_confidence,low_confidence_word_rate,ocr_class,front_matter_score,toc_navigation_score,bibliography_credits_score,primary_structure,classification_certainty,classification_rule,evidence_flags,classifier_version
LTMD-CN4-G1972-VP059,LTMD-CN4-G1972,1972,4,59,3,119,89.56,0.0420,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP060,LTMD-CN4-G1972,1972,4,60,3,151,87.46,0.0993,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP061,LTMD-CN4-G1972,1972,4,61,3,61,85.88,0.0984,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP062,LTMD-CN4-G1972,1972,4,62,3,130,85.22,0.1077,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP063,LTMD-CN4-G1972,1972,4,63,3,115,85.40,0.0783,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP064,LTMD-CN4-G1972,1972,4,64,3,40,91.06,0.0250,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP065,LTMD-CN4-G1972,1972,4,65,3,24,92.42,0.0417,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP066,LTMD-CN4-G1972,1972,4,66,6,8,21.17,0.8750,text_detected,,,,visual_only,high,OCR_VISUAL_NOISE,fallback_psm;visual_noise,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP067,LTMD-CN4-G1972,1972,4,67,11,7,48.69,0.7143,text_detected,,,,visual_only,medium,OCR_VISUAL_NOISE,fallback_psm;visual_noise,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP068,LTMD-CN4-G1972,1972,4,68,3,88,90.95,0.0341,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
