audit_version,book_id,viewer_key,catalog_generation,grade,viewer_page,source_image_index,is_terminal_declared_slot,url,http_status,content_type,reachable_image,error
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,104,104,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/104.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,105,105,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/105.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,106,106,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/106.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,107,107,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/107.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,108,108,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/108.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,109,109,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/109.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,110,110,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/110.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,111,111,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/111.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,112,112,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/112.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,113,113,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/113.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,114,114,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/114.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,115,115,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/115.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,116,116,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/116.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,117,117,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/117.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,118,118,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/118.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,119,119,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/119.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,120,120,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/120.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,121,121,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/121.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,122,122,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/122.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,123,123,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/123.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,124,124,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/124.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,125,125,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/125.jpg,206,image/jpeg,1,
