scanner_version,page_id,book_id,catalog_generation,grade,viewer_page,selected_psm,source_sha256_verified,front_zone,end_zone,front_matter_score,toc_navigation_score,bibliography_credits_score,matched_category_count,error
CN46_STRUCTKW_0.1,LTMD-CN6-G1988-VP001,LTMD-CN6-G1988,1988,6,1,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1988-VP002,LTMD-CN6-G1988,1988,6,2,6,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1988-VP003,LTMD-CN6-G1988,1988,6,3,3,1,1,0,0,0,1,1,
CN46_STRUCTKW_0.1,LTMD-CN6-G1988-VP004,LTMD-CN6-G1988,1988,6,4,3,1,1,0,0,1,3,2,
CN46_STRUCTKW_0.1,LTMD-CN6-G1988-VP005,LTMD-CN6-G1988,1988,6,5,3,1,1,0,0,2,1,2,
CN46_STRUCTKW_0.1,LTMD-CN6-G1988-VP006,LTMD-CN6-G1988,1988,6,6,3,1,1,0,1,0,0,1,
CN46_STRUCTKW_0.1,LTMD-CN6-G1988-VP007,LTMD-CN6-G1988,1988,6,7,3,1,1,0,0,1,0,1,
CN46_STRUCTKW_0.1,LTMD-CN6-G1988-VP008,LTMD-CN6-G1988,1988,6,8,6,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1988-VP009,LTMD-CN6-G1988,1988,6,9,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1988-VP010,LTMD-CN6-G1988,1988,6,10,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1988-VP011,LTMD-CN6-G1988,1988,6,11,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1988-VP012,LTMD-CN6-G1988,1988,6,12,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1988-VP013,LTMD-CN6-G1988,1988,6,13,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1988-VP014,LTMD-CN6-G1988,1988,6,14,3,1,1,0,0,0,0,0,
