family,category,catalog_generation,stratum,n_fragments,A_count,A_rate,A_per_100,B_count,B_rate,B_per_100,consensus_positive_count,consensus_positive_rate,consensus_positive_per_100,method_sensitive_count,method_sensitive_rate,consensus_negative_count,consensus_negative_rate,comparison_version
position,observer,1993,textual_only_certain_nonheading,13,1,0.07692308,7.6923,2,0.15384615,15.3846,1,0.07692308,7.6923,1,0.07692308,11,0.84615385,HISTCOMP_0.1
position,experimenter,1993,textual_only_certain_nonheading,13,0,0.0,0.0,8,0.61538462,61.5385,0,0.0,0.0,8,0.61538462,5,0.38461538,HISTCOMP_0.1
position,investigator,1993,textual_only_certain_nonheading,13,0,0.0,0.0,1,0.07692308,7.6923,0,0.0,0.0,1,0.07692308,12,0.92307692,HISTCOMP_0.1
position,reasoner,1993,textual_only_certain_nonheading,13,1,0.07692308,7.6923,0,0.0,0.0,0,0.0,0.0,1,0.07692308,12,0.92307692,HISTCOMP_0.1
position,collaborator,1993,textual_only_certain_nonheading,13,0,0.0,0.0,3,0.23076923,23.0769,0,0.0,0.0,3,0.23076923,10,0.76923077,HISTCOMP_0.1
position,decision_maker,1993,textual_only_certain_nonheading,13,0,0.0,0.0,2,0.15384615,15.3846,0,0.0,0.0,2,0.15384615,11,0.84615385,HISTCOMP_0.1
position,community_agent,1993,textual_only_certain_nonheading,13,0,0.0,0.0,4,0.30769231,30.7692,0,0.0,0.0,4,0.30769231,9,0.69230769,HISTCOMP_0.1
position,receiver,1993,mixed_text_image_certain_nonheading,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,2,1.0,HISTCOMP_0.1
position,instruction_follower,1993,mixed_text_image_certain_nonheading,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,2,1.0,HISTCOMP_0.1
position,observer,1993,mixed_text_image_certain_nonheading,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,2,1.0,HISTCOMP_0.1
position,experimenter,1993,mixed_text_image_certain_nonheading,2,0,0.0,0.0,1,0.5,50.0,0,0.0,0.0,1,0.5,1,0.5,HISTCOMP_0.1
position,investigator,1993,mixed_text_image_certain_nonheading,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,2,1.0,HISTCOMP_0.1
position,reasoner,1993,mixed_text_image_certain_nonheading,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,2,1.0,HISTCOMP_0.1
position,collaborator,1993,mixed_text_image_certain_nonheading,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,2,1.0,HISTCOMP_0.1
position,decision_maker,1993,mixed_text_image_certain_nonheading,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,2,1.0,HISTCOMP_0.1
position,community_agent,1993,mixed_text_image_certain_nonheading,2,0,0.0,0.0,1,0.5,50.0,0,0.0,0.0,1,0.5,1,0.5,HISTCOMP_0.1
position,receiver,2014,all_body_fragments,2641,315,0.119273,11.9273,349,0.13214691,13.2147,111,0.04202953,4.203,442,0.16736085,2088,0.79060962,HISTCOMP_0.1
position,instruction_follower,2014,all_body_fragments,2641,232,0.08784551,8.7846,48,0.01817493,1.8175,6,0.00227187,0.2272,268,0.10147671,2367,0.89625142,HISTCOMP_0.1
position,observer,2014,all_body_fragments,2641,35,0.01325256,1.3253,208,0.07875805,7.8758,18,0.0068156,0.6816,207,0.0783794,2416,0.914805,HISTCOMP_0.1
position,experimenter,2014,all_body_fragments,2641,9,0.0034078,0.3408,359,0.13593336,13.5933,8,0.00302916,0.3029,352,0.13328285,2281,0.863688,HISTCOMP_0.1
position,investigator,2014,all_body_fragments,2641,46,0.01741764,1.7418,282,0.10677774,10.6778,31,0.01173798,1.1738,266,0.10071942,2344,0.8875426,HISTCOMP_0.1
position,reasoner,2014,all_body_fragments,2641,51,0.01931087,1.9311,104,0.03937902,3.9379,13,0.00492238,0.4922,129,0.04884513,2499,0.94623249,HISTCOMP_0.1
position,collaborator,2014,all_body_fragments,2641,10,0.00378644,0.3786,212,0.08027262,8.0273,8,0.00302916,0.3029,206,0.07800076,2427,0.91897009,HISTCOMP_0.1
position,decision_maker,2014,all_body_fragments,2641,4,0.00151458,0.1515,198,0.0749716,7.4972,2,0.00075729,0.0757,198,0.0749716,2441,0.92427111,HISTCOMP_0.1
position,community_agent,2014,all_body_fragments,2641,8,0.00302916,0.3029,186,0.07042787,7.0428,3,0.00113593,0.1136,188,0.07118516,2450,0.92767891,HISTCOMP_0.1
position,receiver,2014,nonheading,1105,315,0.28506787,28.5068,349,0.3158371,31.5837,111,0.10045249,10.0452,442,0.4,552,0.49954751,HISTCOMP_0.1
position,instruction_follower,2014,nonheading,1105,232,0.20995475,20.9955,48,0.04343891,4.3439,6,0.00542986,0.543,268,0.24253394,831,0.7520362,HISTCOMP_0.1
position,observer,2014,nonheading,1105,35,0.03167421,3.1674,208,0.18823529,18.8235,18,0.01628959,1.629,207,0.18733032,880,0.79638009,HISTCOMP_0.1
position,experimenter,2014,nonheading,1105,9,0.0081448,0.8145,359,0.32488688,32.4887,8,0.00723982,0.724,352,0.31855204,745,0.67420814,HISTCOMP_0.1
position,investigator,2014,nonheading,1105,46,0.04162896,4.1629,282,0.25520362,25.5204,31,0.0280543,2.8054,266,0.24072398,808,0.73122172,HISTCOMP_0.1
position,reasoner,2014,nonheading,1105,51,0.04615385,4.6154,104,0.09411765,9.4118,13,0.01176471,1.1765,129,0.11674208,963,0.87149321,HISTCOMP_0.1
position,collaborator,2014,nonheading,1105,10,0.00904977,0.905,212,0.1918552,19.1855,8,0.00723982,0.724,206,0.18642534,891,0.80633484,HISTCOMP_0.1
position,decision_maker,2014,nonheading,1105,4,0.00361991,0.362,198,0.17918552,17.9186,2,0.00180995,0.181,198,0.17918552,905,0.81900452,HISTCOMP_0.1
position,community_agent,2014,nonheading,1105,8,0.00723982,0.724,186,0.16832579,16.8326,3,0.00271493,0.2715,188,0.17013575,914,0.82714932,HISTCOMP_0.1
