domain,category,initial_generation,final_generation,stratum,specification,n_initial,n_final,initial_rate,final_rate,difference_pp,prevalence_ratio,direction,directionally_robust,method_sensitive_direction,comparison_version
action,decide,1993,2014,certain_nonheading,consensus,15,12,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,decide,1972,2014,certain_nonheading,A,15,12,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,decide,1972,2014,certain_nonheading,B,15,12,0.0,0.16666667,16.6667,,increase,0,0,HISTCOMP_0.1
action,decide,1972,2014,certain_nonheading,consensus,15,12,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,act_on_environment,1972,1988,certain_nonheading,A,15,7,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,act_on_environment,1972,1988,certain_nonheading,B,15,7,0.26666667,0.14285714,-12.381,0.535714,decrease,0,0,HISTCOMP_0.1
action,act_on_environment,1972,1988,certain_nonheading,consensus,15,7,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,act_on_environment,1988,1993,certain_nonheading,A,7,15,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,act_on_environment,1988,1993,certain_nonheading,B,7,15,0.14285714,0.4,25.7143,2.8,increase,0,0,HISTCOMP_0.1
action,act_on_environment,1988,1993,certain_nonheading,consensus,7,15,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,act_on_environment,1993,2014,certain_nonheading,A,15,12,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,act_on_environment,1993,2014,certain_nonheading,B,15,12,0.4,0.5,10.0,1.25,increase,0,0,HISTCOMP_0.1
action,act_on_environment,1993,2014,certain_nonheading,consensus,15,12,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,act_on_environment,1972,2014,certain_nonheading,A,15,12,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
action,act_on_environment,1972,2014,certain_nonheading,B,15,12,0.26666667,0.5,23.3333,1.875,increase,0,0,HISTCOMP_0.1
action,act_on_environment,1972,2014,certain_nonheading,consensus,15,12,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
position,receiver,1972,1988,certain_nonheading,A,15,7,0.06666667,0.42857143,36.1905,6.428571,increase,0,0,HISTCOMP_0.1
position,receiver,1972,1988,certain_nonheading,B,15,7,0.0,0.14285714,14.2857,,increase,0,0,HISTCOMP_0.1
position,receiver,1972,1988,certain_nonheading,consensus,15,7,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
position,receiver,1988,1993,certain_nonheading,A,7,15,0.42857143,0.4,-2.8571,0.933333,decrease,0,0,HISTCOMP_0.1
position,receiver,1988,1993,certain_nonheading,B,7,15,0.14285714,0.06666667,-7.619,0.466667,decrease,0,0,HISTCOMP_0.1
position,receiver,1988,1993,certain_nonheading,consensus,7,15,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
position,receiver,1993,2014,certain_nonheading,A,15,12,0.4,0.08333333,-31.6667,0.208333,decrease,0,1,HISTCOMP_0.1
position,receiver,1993,2014,certain_nonheading,B,15,12,0.06666667,0.16666667,10.0,2.5,increase,0,1,HISTCOMP_0.1
position,receiver,1993,2014,certain_nonheading,consensus,15,12,0.0,0.08333333,8.3333,,increase,0,1,HISTCOMP_0.1
position,receiver,1972,2014,certain_nonheading,A,15,12,0.06666667,0.08333333,1.6667,1.25,increase,1,0,HISTCOMP_0.1
position,receiver,1972,2014,certain_nonheading,B,15,12,0.0,0.16666667,16.6667,,increase,1,0,HISTCOMP_0.1
position,receiver,1972,2014,certain_nonheading,consensus,15,12,0.0,0.08333333,8.3333,,increase,1,0,HISTCOMP_0.1
position,instruction_follower,1972,1988,certain_nonheading,A,15,7,0.0,0.14285714,14.2857,,increase,0,0,HISTCOMP_0.1
position,instruction_follower,1972,1988,certain_nonheading,B,15,7,0.13333333,0.14285714,0.9524,1.071429,increase,0,0,HISTCOMP_0.1
position,instruction_follower,1972,1988,certain_nonheading,consensus,15,7,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
position,instruction_follower,1988,1993,certain_nonheading,A,7,15,0.14285714,0.13333333,-0.9524,0.933333,decrease,0,0,HISTCOMP_0.1
position,instruction_follower,1988,1993,certain_nonheading,B,7,15,0.14285714,0.06666667,-7.619,0.466667,decrease,0,0,HISTCOMP_0.1
position,instruction_follower,1988,1993,certain_nonheading,consensus,7,15,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
position,instruction_follower,1993,2014,certain_nonheading,A,15,12,0.13333333,0.16666667,3.3333,1.25,increase,0,0,HISTCOMP_0.1
position,instruction_follower,1993,2014,certain_nonheading,B,15,12,0.06666667,0.08333333,1.6667,1.25,increase,0,0,HISTCOMP_0.1
position,instruction_follower,1993,2014,certain_nonheading,consensus,15,12,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
position,instruction_follower,1972,2014,certain_nonheading,A,15,12,0.0,0.16666667,16.6667,,increase,0,1,HISTCOMP_0.1
position,instruction_follower,1972,2014,certain_nonheading,B,15,12,0.13333333,0.08333333,-5.0,0.625,decrease,0,1,HISTCOMP_0.1
position,instruction_follower,1972,2014,certain_nonheading,consensus,15,12,0.0,0.0,0.0,,no_change,0,1,HISTCOMP_0.1
position,observer,1972,1988,certain_nonheading,A,15,7,0.0,0.0,0.0,,no_change,0,0,HISTCOMP_0.1
position,observer,1972,1988,certain_nonheading,B,15,7,0.06666667,0.0,-6.6667,0.0,decrease,0,0,HISTCOMP_0.1
