analysis_version,viewer_a,viewer_b,generation_a,generation_b,grade_a,grade_b,same_generation,same_grade,unique_units_a,unique_units_b,shared_unique_units,jaccard,containment_a_in_b,containment_b_in_a
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P3MA355,H1993P3HI177,1966,1993,3,3,0,1,2287,1929,91,0.022061,0.039790,0.047175
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P4MA363,H1993P3HI167,1966,1993,4,3,0,0,2632,1758,91,0.021168,0.034574,0.051763
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P6HI380,H1993P3HI180,1966,1993,6,3,0,0,2438,2039,91,0.020748,0.037326,0.044630
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P3MA357,H1966P4MA363,1966,1966,3,4,1,0,1895,2632,91,0.020514,0.048021,0.034574
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P4MA019,H1966P3MA355,1960,1966,4,3,0,0,2413,2287,91,0.019744,0.037712,0.039790
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1993P3HI164,H1993P3HI180,1993,1993,3,3,1,1,1489,2039,90,0.026178,0.060443,0.044139
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1993P3HI167,H1993P3HI180,1993,1993,3,3,1,1,1758,2039,90,0.024278,0.051195,0.044139
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P4HI017,H1993P3HI177,1960,1993,4,3,0,0,1993,1929,90,0.023486,0.045158,0.046656
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P4HI361,H1972P3CI071,1966,1972,4,3,0,0,2067,2068,90,0.022250,0.043541,0.043520
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P4HI017,H1966P5HI370,1960,1966,4,5,0,0,1993,2407,90,0.020882,0.045158,0.037391
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P3MA355,H1993P3HI184,1966,1993,3,3,0,1,2287,2233,90,0.020316,0.039353,0.040305
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P3MA012,H1966P4MA363,1960,1966,3,4,0,0,2218,2632,90,0.018908,0.040577,0.034195
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P5MA021,H1993P3HI181,1960,1993,5,3,0,0,2501,1438,89,0.023117,0.035586,0.061892
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1966P6HI380,H1993P3HI175,1966,1993,6,3,0,0,2438,1725,89,0.021846,0.036505,0.051594
LTMD_U1_W10_INTEGRADOS_EXACT_REUSE_0.1,H1960P3MA012,H1966P4HI361,1960,1966,3,4,0,0,2218,2067,89,0.021211,0.040126,0.043058
