normalization_version,viewer_key,catalog_generation,grade_code,viewer_title,title_core,title_core_normalized
CONALITEG_TITLECORE_0.2,H1972P1CI060,1972,1,CIENCIAS SOCIALES Grado 1° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,CIENCIAS SOCIALES,ciencias sociales
CONALITEG_TITLECORE_0.2,H1972P1ES061,1972,1,ESPAÑOL Grado 1° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,ESPAÑOL,espanol
CONALITEG_TITLECORE_0.2,H1972P1ES062,1972,1,ESPAÑOL RECORTABLE Grado 1° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,ESPAÑOL RECORTABLE,espanol recortable
CONALITEG_TITLECORE_0.2,H1972P1MA063,1972,1,MATEMATICAS Grado 1° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,MATEMATICAS,matematicas
CONALITEG_TITLECORE_0.2,H1972P2CI064,1972,2,CIENCIAS NATURALES Grado 2° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,CIENCIAS NATURALES,ciencias naturales
CONALITEG_TITLECORE_0.2,H1972P2CI065,1972,2,CIENCIAS SOCIALES Grado 2° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,CIENCIAS SOCIALES,ciencias sociales
CONALITEG_TITLECORE_0.2,H1972P2ES066,1972,2,ESPAÑOL Grado 2° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,ESPAÑOL,espanol
CONALITEG_TITLECORE_0.2,H1972P2ES067,1972,2,ESPAÑOL EJERCICIOS Grado 2° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,ESPAÑOL EJERCICIOS,espanol ejercicios
CONALITEG_TITLECORE_0.2,H1972P2ES068,1972,2,ESPAÑOL LECTURA Grado 2° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,ESPAÑOL LECTURA,espanol lectura
CONALITEG_TITLECORE_0.2,H1972P2MA069,1972,2,MATEMÁTICAS Grado 2° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,MATEMÁTICAS,matematicas
CONALITEG_TITLECORE_0.2,H1972P3CI070,1972,3,CIENCIAS NATURALES Grado 3° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,CIENCIAS NATURALES,ciencias naturales
CONALITEG_TITLECORE_0.2,H1972P3CI071,1972,3,CIENCIAS NATURALES-CIENCIAS SOCIALES Grado 3° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,CIENCIAS NATURALES-CIENCIAS SOCIALES,ciencias naturales-ciencias sociales
