coverage_version,wave_priority,wave_label,queue_status,operational_domain,viewer_key,catalog_generation,grade_code,title_core,asset_status,effective_fragseg_coverage,coverage_inherited_from_viewer,source_url
LTMD_U1_COVERAGE_0.5,0,U1-W0-cubierto_alias,covered_by_verified_alias,ciencias_naturales,H2018P4CNA,2018,4,Ciencias Naturales,full_alias_same_bytes,1,H2019P4CNA,https://historico.conaliteg.gob.mx/H2018P4CNA.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-cubierto_alias,covered_by_verified_alias,ciencias_naturales,H2018P5CNA,2018,5,Ciencias Naturales,full_alias_same_bytes,1,H2019P5CNA,https://historico.conaliteg.gob.mx/H2018P5CNA.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-cubierto_alias,covered_by_verified_alias,ciencias_naturales,H2018P6CNA,2018,6,Ciencias Naturales,full_alias_same_bytes,1,H2019P6CNA,https://historico.conaliteg.gob.mx/H2018P6CNA.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H2019P1MAA,2019,1,Matemáticas,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H2019P1MAA.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H2019P1MAM,2019,1,Matemáticas. Docente,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H2019P1MAM.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H2019P2MAA,2019,2,Matemáticas,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H2019P2MAA.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H2019P2MAM,2019,2,Matemáticas. Docente,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H2019P2MAM.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,ciencias_naturales,H2019P3CNA,2019,3,Ciencias Naturales,full_direct,1,,https://historico.conaliteg.gob.mx/H2019P3CNA.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H2019P3DMA,2019,3,Desafíos matemáticos. Libro para el alumno,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H2019P3DMA.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,ciencias_naturales,H2019P4CNA,2019,4,Ciencias Naturales,full_direct,1,,https://historico.conaliteg.gob.mx/H2019P4CNA.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H2019P4DMA,2019,4,Desafíos matemáticos. Libro para el alumno,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H2019P4DMA.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,ciencias_naturales,H2019P5CNA,2019,5,Ciencias Naturales,full_direct,1,,https://historico.conaliteg.gob.mx/H2019P5CNA.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H2019P5DMA,2019,5,Desafíos matemáticos. Libro para el alumno,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H2019P5DMA.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,ciencias_naturales,H2019P6CNA,2019,6,Ciencias Naturales,full_direct,1,,https://historico.conaliteg.gob.mx/H2019P6CNA.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H2019P6DMA,2019,6,Desafíos matemáticos. Libro para el alumno,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H2019P6DMA.htm
LTMD_U1_COVERAGE_0.5,2,U1-W2-matematicas,queued,matematicas,H2018P3DMA,2018,3,Desafíos matemáticos. Libro para el alumno,unresolved_w2_math_routing,0,,https://historico.conaliteg.gob.mx/H2018P3DMA.htm
LTMD_U1_COVERAGE_0.5,2,U1-W2-matematicas,queued,matematicas,H2018P4DMA,2018,4,Desafíos matemáticos. Libro para el alumno,unresolved_w2_math_routing,0,,https://historico.conaliteg.gob.mx/H2018P4DMA.htm
LTMD_U1_COVERAGE_0.5,2,U1-W2-matematicas,queued,matematicas,H2018P5DMA,2018,5,Desafíos matemáticos. Libro para el alumno,unresolved_w2_math_routing,0,,https://historico.conaliteg.gob.mx/H2018P5DMA.htm
LTMD_U1_COVERAGE_0.5,2,U1-W2-matematicas,queued,matematicas,H2018P6DMA,2018,6,Desafíos matemáticos. Libro para el alumno,unresolved_w2_math_routing,0,,https://historico.conaliteg.gob.mx/H2018P6DMA.htm
LTMD_U1_COVERAGE_0.5,3,U1-W3-espanol_lengua,queued,espanol_lengua,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,not_yet_audited,0,,https://historico.conaliteg.gob.mx/H1960P2ES003.htm
LTMD_U1_COVERAGE_0.5,3,U1-W3-espanol_lengua,queued,espanol_lengua,H1960P3ES007,1960,3,MI LIBRO DE LENGUA NACIONAL,not_yet_audited,0,,https://historico.conaliteg.gob.mx/H1960P3ES007.htm
