audit_version,viewer_key,catalog_generation,grade_code,viewer_page,source_sha256,candidate_kind,candidate_value,psm_support_count,psm_modes,isbn13_checksum_valid,support_class,promotable_under_0_1_rule
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2019P1FCA,2019,1,2,d1cbbc9d4f55cd0bd94b02e1eb8baf26a063708874092c24a1250deb50047257,edition,sixth_edition:2019,3,3;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2019P2FCA,2019,2,2,823e490038d506cb6ecdf69c0c9fcda6d8174fe1e3ff98975c19a20e7cfa1a07,isbn,978-607-551-234-1,3,3;11;12,1,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2019P2FCA,2019,2,2,823e490038d506cb6ecdf69c0c9fcda6d8174fe1e3ff98975c19a20e7cfa1a07,edition,fifth_edition:2014,5,3;4;6;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2019P2FCA,2019,2,2,823e490038d506cb6ecdf69c0c9fcda6d8174fe1e3ff98975c19a20e7cfa1a07,edition,first_edition:2008,4,3;4;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2019P2FCA,2019,2,2,823e490038d506cb6ecdf69c0c9fcda6d8174fe1e3ff98975c19a20e7cfa1a07,edition,fourth_edition:2013,4,3;4;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2019P2FCA,2019,2,2,823e490038d506cb6ecdf69c0c9fcda6d8174fe1e3ff98975c19a20e7cfa1a07,edition,second_edition:2009,5,3;4;6;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2019P2FCA,2019,2,2,823e490038d506cb6ecdf69c0c9fcda6d8174fe1e3ff98975c19a20e7cfa1a07,edition,sixth_edition:2019,3,3;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2019P3FCA,2019,3,2,68884d9b9cc6c5cfacfd0e8f1bf646585c2a26c88f1e165cc15186a0a31ad7c2,isbn,978-607-551-159-7,0,,1,cross_line_or_unretained_only,0
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2019P3FCA,2019,3,2,68884d9b9cc6c5cfacfd0e8f1bf646585c2a26c88f1e165cc15186a0a31ad7c2,edition,fifth_edition:2019,5,3;4;6;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2019P3FCA,2019,3,2,68884d9b9cc6c5cfacfd0e8f1bf646585c2a26c88f1e165cc15186a0a31ad7c2,edition,first_edition:2008,5,3;4;6;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2019P3FCA,2019,3,2,68884d9b9cc6c5cfacfd0e8f1bf646585c2a26c88f1e165cc15186a0a31ad7c2,edition,fourth_edition:2014,5,3;4;6;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2019P3FCA,2019,3,2,68884d9b9cc6c5cfacfd0e8f1bf646585c2a26c88f1e165cc15186a0a31ad7c2,edition,second_edition:2009,5,3;4;6;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2019P3FCA,2019,3,2,68884d9b9cc6c5cfacfd0e8f1bf646585c2a26c88f1e165cc15186a0a31ad7c2,edition,third_edition:2010,5,3;4;6;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2019P4FCA,2019,4,2,3b44943d923c35c1f27ba096ff5af9fadf5e811d8d61c131fdffe43fc7f4e853,isbn,978-607-551-155-9,4,3;4;6;11,1,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2019P4FCA,2019,4,2,3b44943d923c35c1f27ba096ff5af9fadf5e811d8d61c131fdffe43fc7f4e853,school_cycle,2019-2020,4,3;4;6;11,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2019P4FCA,2019,4,2,3b44943d923c35c1f27ba096ff5af9fadf5e811d8d61c131fdffe43fc7f4e853,edition,fifth_edition:2019,4,3;4;6;11,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2019P4FCA,2019,4,2,3b44943d923c35c1f27ba096ff5af9fadf5e811d8d61c131fdffe43fc7f4e853,edition,first_edition:2008,5,3;4;6;11;12,,strong_multipsm,1
LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,H2019P4FCA,2019,4,2,3b44943d923c35c1f27ba096ff5af9fadf5e811d8d61c131fdffe43fc7f4e853,edition,fourth_edition:2014,4,3;4;6;11,,strong_multipsm,1
