analysis_version,target_viewer,candidate_viewer,viewer_page,target_sha256,candidate_sha256,target_byte_size,candidate_byte_size
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,75,a993bd5721d49a87ddd7a08c93c1297faefbd61d81d701487c76d57e7329295f,6e9fd69a43e4ab169400afe6b91e5f6879c1c054795a2013f520f2d2a2accf9d,287269,294552
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,76,9cb539931c6ab1d5e393a9f7eddaaa89d7c0bfd3ba90da0abd06f863a55437d1,debcac1926a0f439002b9de2d80e28e1c1a5cba1317b2779869fe04fd8f88ccb,162609,240484
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,77,b5df4fa188c45af2eb79f8720d363d018066418e99881aa445784a12af1d1e3a,445cf68873b9059a656d0893f96558eb94bd83a8b9bc889dfd74e1ed177c9f7e,288452,267786
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,78,b75afae7f83d05813a7c4dbe995b7be0ff303c43480aac191a2457dc2b8f5feb,f4d0055daaac656b5b73c06de7ba31df03a525d74ec6306bb43ea00d4618ccd6,285593,328965
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,79,6bb42f1a18b2abf6e4628f2c7162e0cd22708834377a9a703cddc9cf1acc3cd1,25e8329c87a44900f63761967fa05aeae8f976f1b94281acc2e432cfb208bbd9,246825,265095
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,80,3884b61f6b2b53b779793d476f8c5c8febc5eda187ce70ae0012a7abef54b3e0,4827ac08520c2f7f43d570776e3c009d2d11591951851e72589ce03dbe52a76a,666090,129132
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,81,7208a55f8e3a85448af6b132e73bc14cc79290486767b0f1242d69268173104f,1cc82d991d40ec9c5f051571592586b2e8417e228036aea42b28e7df480af3cc,615986,143507
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,82,df4763ec3fb68ac20317c18a79a5d404e4e468999b1215474ef2c6d42356d2f8,583e1cb5459f22b3561f43c9fc38ccc8830e71f67cc64fb2a4a2fa383de67c7b,536683,199364
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,83,11c2c7d3913909b396208cd50163f1f4411dfd5e8982501b2e1fbc4f07e65680,45e9263624edf68f78df1691e3e41b64700b2de85616cf5c74a9cc4fb028c105,381231,189461
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,84,7cefc541ac7567586dbfb40970476d9f08dee738d30e8ce2cb054c4961a43f6c,9f92cc4a77b3f8624ec62b620db957bab7b979d63847b7c226e473bc98136d00,398744,126861
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,85,fea95bf9e0191e14e310dc281b2b136cdb9cc8f07c0af3559b8c4d6ef8a883bb,4bcd03a59f10940c29b6c15e0d6b067580f7457b48eedf1578fa91fac01557a4,348589,122428
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2008P5CI278,86,8c34438e1ec7d4f6f4633d81cc395b26994333a6920dfda62c22bcc42b7ae751,b2124cbe4affdbbad17fc313b987fa271e07ddceed1166ee60cba2f8bc370674,389395,222398
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2011P5CI326,1,24c04d23291136535f39286abb5c37110188347a786f830d8d1c080cdfbba4e9,747b897ab4633dc739e5746601190d2c61ec24bcc0669dd31d1f76bda4a881e9,564210,222403
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2011P5CI326,2,e6f598a680166d0c7d8d8d065a557ee20813c597fb9f9b9c8da248d90d80180a,e67c796f1dd5be252d6ad047e609a860b54219658c14943d8290c9034ba630eb,17401,339236
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2011P5CI326,3,6e6fc86dd128354b34c680ac2a371cbbe38e522fe7ce35e7e0df84715b67b726,dc502b632502f0c2d645900e66ff6207518536860fed4ebd51bce631c07264e6,87482,279797
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2011P5CI326,4,2289b5a4d1cde81324db7c43ab85c0ab6ce9b4824b7e085273d8fd15c3e333f1,7a060d43369e503bdda56d580a44730b80e8e0f04425fcaecf029ef96e3d6a84,217715,223572
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2011P5CI326,5,84528530b55ce89da74301ec3a2d3c982f5cfec047ce9a6fb602ef1f450e4ed7,d19e62abf04401b4c8865b5c3ed86b0ecdd3cec9cf963c37f92e35f1792edffc,488798,236873
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2011P5CI326,6,43ee59c9743204910e242bec80e05a375f5f697c493d535a1ff03dc50a7fa8e3,bb31a3fd6b04a7704aeeb36494f0984dac361161948dde625a4e8f6ca7e693f1,281876,338404
LTMD_U1_W7_H2014P5_EXACT_NEIGHBORS_0.1,H2014P5FCA,H2011P5CI326,7,6d84d116a30ad084622671a7ffffabfd27a96d9e5f227a8d39a7edd078f35a3d,6d2f8a3207f584f1029deeba54610823be94ab40fcf7826c9ce9f440c89ca78a,223268,299704
