observation_version,observation_id,viewer_key,field,normalized_value,evidence_viewer_page,evidence_image_index,evidence_sha256,evidence_byte_size,support_class,psm_support_count,psm_modes,isbn13_checksum_valid,extraction_source_version
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2014P1FCA:edition_history_statement:first_edition:2008,H2014P1FCA,edition_history_statement,first_edition:2008,2,2,528155fb16c3121cd6ce0115a4e57f99e8cd12c030d7101a01a492f77c1e04c6,420190,strong_multipsm,4,3;4;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2014P1FCA:edition_history_statement:fourth_edition:2013,H2014P1FCA,edition_history_statement,fourth_edition:2013,2,2,528155fb16c3121cd6ce0115a4e57f99e8cd12c030d7101a01a492f77c1e04c6,420190,strong_multipsm,4,3;4;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2014P1FCA:edition_history_statement:second_edition:2009,H2014P1FCA,edition_history_statement,second_edition:2009,2,2,528155fb16c3121cd6ce0115a4e57f99e8cd12c030d7101a01a492f77c1e04c6,420190,strong_multipsm,4,3;4;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2014P1FCA:edition_history_statement:third_edition:2010,H2014P1FCA,edition_history_statement,third_edition:2010,2,2,528155fb16c3121cd6ce0115a4e57f99e8cd12c030d7101a01a492f77c1e04c6,420190,strong_multipsm,4,3;4;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2014P2FCA:edition_history_statement:fifth_edition:2014,H2014P2FCA,edition_history_statement,fifth_edition:2014,2,2,7a65355bc8418931838ff1bdf019290b939c1d5be428bf527f557049a1ab912f,221323,strong_multipsm,3,3;4;11,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2014P2FCA:edition_history_statement:first_edition:2008,H2014P2FCA,edition_history_statement,first_edition:2008,2,2,7a65355bc8418931838ff1bdf019290b939c1d5be428bf527f557049a1ab912f,221323,strong_multipsm,5,3;4;6;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2014P2FCA:edition_history_statement:fourth_edition:2013,H2014P2FCA,edition_history_statement,fourth_edition:2013,2,2,7a65355bc8418931838ff1bdf019290b939c1d5be428bf527f557049a1ab912f,221323,strong_multipsm,4,3;4;6;11,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2014P2FCA:edition_history_statement:second_edition:2009,H2014P2FCA,edition_history_statement,second_edition:2009,2,2,7a65355bc8418931838ff1bdf019290b939c1d5be428bf527f557049a1ab912f,221323,strong_multipsm,4,3;4;6;11,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2014P2FCA:edition_history_statement:third_edition:2010,H2014P2FCA,edition_history_statement,third_edition:2010,2,2,7a65355bc8418931838ff1bdf019290b939c1d5be428bf527f557049a1ab912f,221323,strong_multipsm,4,3;4;6;11,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2014P3FCA:edition_history_statement:first_edition:2008,H2014P3FCA,edition_history_statement,first_edition:2008,2,2,1ccb3b40067163d4c7dbc2cc08e77654d871a510f591567bc3e9cf237e0b43b1,221810,strong_multipsm,3,3;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
