manifest_version,viewer_key,catalog_generation,grade_code,title_core,processing_mode,viewer_page,source_image_index,source_asset_url,byte_size,sha256,asset_status,page_numbering_policy,source_provenance
LTMD_U1_W7_CANONICAL_PAGE_MANIFEST_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,45,45,https://historico.conaliteg.gob.mx/c/H2008P1CI250/045.jpg,314963,310c27eb8d58a26fae9ae1242640f1295f5807d8c272eef35934384aa6a361bb,source_jpeg,preserve_original_viewer_page_no_renumbering,W7_civics_ethics_asset_manifest_source_jpeg
LTMD_U1_W7_CANONICAL_PAGE_MANIFEST_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,46,46,https://historico.conaliteg.gob.mx/c/H2008P1CI250/046.jpg,336035,889e9458530657e161a5419fd37c709cc1f963c058fc74b91f6be3c187c341db,source_jpeg,preserve_original_viewer_page_no_renumbering,W7_civics_ethics_asset_manifest_source_jpeg
LTMD_U1_W7_CANONICAL_PAGE_MANIFEST_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,47,47,https://historico.conaliteg.gob.mx/c/H2008P1CI250/047.jpg,418806,ca934f52e375bdd5f1a9fdb26dff4b6512fd33cdf3ebc16bd1d36bcf0b67a506,source_jpeg,preserve_original_viewer_page_no_renumbering,W7_civics_ethics_asset_manifest_source_jpeg
LTMD_U1_W7_CANONICAL_PAGE_MANIFEST_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,48,48,https://historico.conaliteg.gob.mx/c/H2008P1CI250/048.jpg,523365,ac12321928ae6238c5440dc2f3cf55e4d2ce65820482a1336a9347b1db552b0b,source_jpeg,preserve_original_viewer_page_no_renumbering,W7_civics_ethics_asset_manifest_source_jpeg
LTMD_U1_W7_CANONICAL_PAGE_MANIFEST_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,49,49,https://historico.conaliteg.gob.mx/c/H2008P1CI250/049.jpg,499070,72d0bcf06b9a886f5dae88de8ecca31e8d8f6bcc248129fe6d3361674c08476b,source_jpeg,preserve_original_viewer_page_no_renumbering,W7_civics_ethics_asset_manifest_source_jpeg
LTMD_U1_W7_CANONICAL_PAGE_MANIFEST_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,50,50,https://historico.conaliteg.gob.mx/c/H2008P1CI250/050.jpg,357061,81577fd52e2972c663bab4e3add912f9efc9b8af88d723f2242db4cb0adbeabd,source_jpeg,preserve_original_viewer_page_no_renumbering,W7_civics_ethics_asset_manifest_source_jpeg
LTMD_U1_W7_CANONICAL_PAGE_MANIFEST_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,51,51,https://historico.conaliteg.gob.mx/c/H2008P1CI250/051.jpg,363120,bc7000245fd332f3aa8d287e5ba6d64d91633519c314c7ff46c3295907e7dc09,source_jpeg,preserve_original_viewer_page_no_renumbering,W7_civics_ethics_asset_manifest_source_jpeg
LTMD_U1_W7_CANONICAL_PAGE_MANIFEST_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,52,52,https://historico.conaliteg.gob.mx/c/H2008P1CI250/052.jpg,377628,6f5b69add1920eb1e18377d6b2c77848644601681427ca237d9a851218908550,source_jpeg,preserve_original_viewer_page_no_renumbering,W7_civics_ethics_asset_manifest_source_jpeg
LTMD_U1_W7_CANONICAL_PAGE_MANIFEST_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,53,53,https://historico.conaliteg.gob.mx/c/H2008P1CI250/053.jpg,423896,8113431ec1836a44c6c94ab819422ac226f0d5a11e90d364665c7ba28a51f1a6,source_jpeg,preserve_original_viewer_page_no_renumbering,W7_civics_ethics_asset_manifest_source_jpeg
LTMD_U1_W7_CANONICAL_PAGE_MANIFEST_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,54,54,https://historico.conaliteg.gob.mx/c/H2008P1CI250/054.jpg,346779,2a517d464fe48b2b7f5c0bcfabdd0f7dae865f9d44f6a2ca70900b8a7c3bbfb3,source_jpeg,preserve_original_viewer_page_no_renumbering,W7_civics_ethics_asset_manifest_source_jpeg
