topology_version,viewer_key,catalog_generation,grade_code,title_core,technical_route,source_admitted,is_canonical_processing_object,processing_mode,canonical_viewer_key,source_sequence_sha256,source_pages,terminal_synthetic_candidates,source_state
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H2014P3CAM,2014,3,La entidad donde vivo Campeche,standard_dynamic_claves,1,1,direct_canonical,H2014P3CAM,e37b1835ead254abea48ea604d145f049e64c259003dbe83e52ab1a8e19e4ddd,161,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H2014P3CDM,2014,3,La entidad donde vivo Ciudad de México,standard_dynamic_claves,1,1,direct_canonical,H2014P3CDM,6c049fed2e2ae21bd88dc787483d863855200e799fc627e9748ef5f7ee9cb2bb,161,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H2014P3CHH,2014,3,La entidad donde vivo Chihuahua,standard_dynamic_claves,1,1,direct_canonical,H2014P3CHH,a482ded0ca607ceb6b2a437b087d428d44fff0a443e3ed77031180b4c8255455,161,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H2014P3CHP,2014,3,La entidad donde vivo Chiapas,standard_dynamic_claves,1,1,direct_canonical,H2014P3CHP,2941e16e062db8651b5d400d1881258eef670807fffe477364b7dc18c8a31851,161,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H2014P3COA,2014,3,La entidad donde vivo Coahuila,standard_dynamic_claves,1,1,direct_canonical,H2014P3COA,02c1d79659c7376326789580cddfb0d5e74b0ba940ebc0c70a07c6b3d0c25fec,161,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H2014P3COL,2014,3,La entidad donde vivo Colima,standard_dynamic_claves,0,0,withheld_source,,,160,0,withheld_internal_unserved
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H2014P3DUR,2014,3,La entidad donde vivo Durango,standard_dynamic_claves,1,1,direct_canonical,H2014P3DUR,cd01fb7fd2cb61eb3103c7648129407d856b41be581b407ad350227336100c5e,161,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H2014P3GRO,2014,3,La entidad donde vivo Guerrero,standard_dynamic_claves,1,1,direct_canonical,H2014P3GRO,5af51bebbad78c89518a5129a361841c018d0237e78ab35d3230752a2acab613,161,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H2014P3GTO,2014,3,La entidad donde vivo Guanajuato,standard_dynamic_claves,1,1,direct_canonical,H2014P3GTO,847cae4d4be197316ff124effc46daf261113a1018cf3663fe1d2c575050c563,161,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H2014P3HID,2014,3,La entidad donde vivo Hidalgo,standard_dynamic_claves,1,1,direct_canonical,H2014P3HID,76b720578bbf952e7ab712edacdbb459e0bec46ba25b2461251a93757e083a60,161,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H2014P3JAL,2014,3,La entidad donde vivo Jalisco,standard_dynamic_claves,1,1,direct_canonical,H2014P3JAL,60fbc3d2414db2569f21d83ecb60c4519b6e07e9f91e792519894178bb4a1e61,161,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H2014P3MEX,2014,3,La entidad donde vivo México,standard_dynamic_claves,1,1,direct_canonical,H2014P3MEX,2871bbe319676671caef387c7de01eb5fd8961fb7deff5b7d837e8ff7a1dad58,161,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H2014P3MIC,2014,3,La entidad donde vivo Michoacán,standard_dynamic_claves,1,1,direct_canonical,H2014P3MIC,1745321ff2f1e89d43ce1129e62076ef9590b79c14c9544291c8d64b39fa27a2,161,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H2014P3MOR,2014,3,La entidad donde vivo Morelos,standard_dynamic_claves,0,0,withheld_source,,,160,0,withheld_internal_unserved
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H2014P3NAY,2014,3,La entidad donde vivo Nayarit,standard_dynamic_claves,1,1,direct_canonical,H2014P3NAY,5c506aefd0cb17d32ef8616be2dc3e78d92a18f247f07a690e35dd4510e8fd46,161,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H2014P3NLE,2014,3,La entidad donde vivo Nuevo León,standard_dynamic_claves,1,1,direct_canonical,H2014P3NLE,d2f708be3a9c15a99782e80545f264303eb0d23dd86dfaf076e7884e7f920cb6,161,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H2014P3OAX,2014,3,La entidad donde vivo Oaxaca,standard_dynamic_claves,1,1,direct_canonical,H2014P3OAX,23562089e6af86c5e7597712662ea1d83a49549a6445e7d285318549cb6fef1b,161,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H2014P3PUE,2014,3,La entidad donde vivo Puebla,standard_dynamic_claves,1,1,direct_canonical,H2014P3PUE,3d320bf5deecb4d3544497cd673f5949883831a3a89029faabd79eda7aebe663,161,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H2014P3QRO,2014,3,La entidad donde vivo Quintana Roo,standard_dynamic_claves,1,1,direct_canonical,H2014P3QRO,231fd0bf2e229aba08eacd9eab1cc031bfad1bca28f67f54760869ac3aedc186,161,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H2014P3QUE,2014,3,La entidad donde vivo Querétaro,standard_dynamic_claves,1,1,direct_canonical,H2014P3QUE,bc90173c6b2bd264492bdc6cfd7ddc73f777a86ec62c90af305608fc2a91ba05,161,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H2014P3SIN,2014,3,La entidad donde vivo Sinaloa,standard_dynamic_claves,1,1,direct_canonical,H2014P3SIN,83ff4de22b7982d9514ccd57153c1615b1a4f8cbb958a9842e6eaa4a3b6d77e7,161,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H2014P3SLP,2014,3,La entidad donde vivo San Luis Potosí,standard_dynamic_claves,1,1,direct_canonical,H2014P3SLP,04e7a2b5f87c236080bc8c0f082501c0fd528a1bd7afd483fcc52a2aaff72280,161,1,admitted_direct
LTMD_U1_W11_PROCESSING_TOPOLOGY_0.1,H2014P3SON,2014,3,La entidad donde vivo Sonora,standard_dynamic_claves,1,1,direct_canonical,H2014P3SON,b11e18f60d6f86d6d5ecb601a9278ec885466fe1effda0eac9108ce5b1183edf,161,1,admitted_direct
