inventory_version,routing_version,viewer_key,catalog_generation,grade_code,title_core,ag_clave,declared_positions,technical_route,source_url
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2014P3NAY,2014,3,La entidad donde vivo Nayarit,H2014P3NAY,162,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H2014P3NAY.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2014P3NLE,2014,3,La entidad donde vivo Nuevo León,H2014P3NLE,162,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H2014P3NLE.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2014P3OAX,2014,3,La entidad donde vivo Oaxaca,H2014P3OAX,162,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H2014P3OAX.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2014P3PUE,2014,3,La entidad donde vivo Puebla,H2014P3PUE,162,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H2014P3PUE.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2014P3QRO,2014,3,La entidad donde vivo Quintana Roo,H2014P3QRO,162,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H2014P3QRO.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2014P3QUE,2014,3,La entidad donde vivo Querétaro,H2014P3QUE,162,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H2014P3QUE.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2014P3SIN,2014,3,La entidad donde vivo Sinaloa,H2014P3SIN,162,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H2014P3SIN.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2014P3SLP,2014,3,La entidad donde vivo San Luis Potosí,H2014P3SLP,162,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H2014P3SLP.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2014P3SON,2014,3,La entidad donde vivo Sonora,H2014P3SON,162,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H2014P3SON.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2014P3TAB,2014,3,La entidad donde vivo Tabasco,H2014P3TAB,162,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H2014P3TAB.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2014P3TAM,2014,3,La entidad donde vivo Tamaulipas,H2014P3TAM,162,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H2014P3TAM.htm
