topology_version,page_id,viewer_key,catalog_generation,grade_code,title_core,viewer_page,source_kind,source_asset_url,sha256,byte_size,original_source_asset_url,original_asset_status,recovery_reference_viewer_key
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321:p0073,H2011P4GE321,2011,4,GEOGRAFÍA,73,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H2011P4GE321/073.jpg,5b606d9b004cc043ce14a2cbcae67de9291bd308d62b6e886dddd791fc371b27,330733,https://historico.conaliteg.gob.mx/c/H2011P4GE321/073.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321:p0074,H2011P4GE321,2011,4,GEOGRAFÍA,74,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H2011P4GE321/074.jpg,dafa8c886011d248d6d457460944765bae69a2bc3be0ece454e162f75a69e977,335530,https://historico.conaliteg.gob.mx/c/H2011P4GE321/074.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321:p0075,H2011P4GE321,2011,4,GEOGRAFÍA,75,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H2011P4GE321/075.jpg,6600eacd0dcf79eac5f2e8392dc683e2a5cc87ae5c8ac914c9bd6b05ffeda6c9,311334,https://historico.conaliteg.gob.mx/c/H2011P4GE321/075.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321:p0076,H2011P4GE321,2011,4,GEOGRAFÍA,76,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H2011P4GE321/076.jpg,397feaca174b6988ae1802ebb53d1522caa9130deff794e33f2fe1dfc436d83d,279827,https://historico.conaliteg.gob.mx/c/H2011P4GE321/076.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321:p0077,H2011P4GE321,2011,4,GEOGRAFÍA,77,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H2011P4GE321/077.jpg,150e314ac51e44fb77ff21bdce5eed75d035c946c80151c37f50de05b4fcb328,323027,https://historico.conaliteg.gob.mx/c/H2011P4GE321/077.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321:p0078,H2011P4GE321,2011,4,GEOGRAFÍA,78,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H2011P4GE321/078.jpg,aff32c7b9f1e90243562e48856dde6bbdfcc2a5ecfb54b125eb82199681c73b2,268006,https://historico.conaliteg.gob.mx/c/H2011P4GE321/078.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321:p0079,H2011P4GE321,2011,4,GEOGRAFÍA,79,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H2011P4GE321/079.jpg,4e6954591e63612643fda489893f22f422327904e60cf4be22c921477b0a2ea7,162095,https://historico.conaliteg.gob.mx/c/H2011P4GE321/079.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321:p0080,H2011P4GE321,2011,4,GEOGRAFÍA,80,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H2011P4GE321/080.jpg,5625a795606c2ccbd714cea552767857ff18a64f260acdf023efdeabc759d446,281676,https://historico.conaliteg.gob.mx/c/H2011P4GE321/080.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321:p0081,H2011P4GE321,2011,4,GEOGRAFÍA,81,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H2011P4GE321/081.jpg,6167391b824f0ab47dfa84afaa61061b1bf9be5922872dbf2cef8662743b228c,285866,https://historico.conaliteg.gob.mx/c/H2011P4GE321/081.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321:p0082,H2011P4GE321,2011,4,GEOGRAFÍA,82,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H2011P4GE321/082.jpg,17f9656aee92f83d39118f538a4ee531477fdc0810f13599b393ebd4ee3c535b,178103,https://historico.conaliteg.gob.mx/c/H2011P4GE321/082.jpg,source_jpeg,
