audit_version,viewer_key,catalog_generation,grade_code,title_core,viewer_ui,ag_clave,viewer_page,declared_positions,source_image_index,source_asset_url,is_final_declared_position,probe_state,http_status,content_type,byte_size,sha256,attempts,error,asset_status
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,56,115,56,https://historico.conaliteg.gob.mx/c/H2008P1ED252/056.jpg,0,served_image,200,image/jpeg,337125,e5d5541fab962c52c6bebb5e8c6581c0c0272acf8e64b93b265c47f3a13e5420,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,57,115,57,https://historico.conaliteg.gob.mx/c/H2008P1ED252/057.jpg,0,served_image,200,image/jpeg,253156,a11eb8abb14efdbe87c303d7e6b6b89104c26ee45ea30f32c5a85c1648aacc2d,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,58,115,58,https://historico.conaliteg.gob.mx/c/H2008P1ED252/058.jpg,0,served_image,200,image/jpeg,278823,63d21b3baa5112ad7af0eed401475d4af50e388ce561a75d578ed347595a7c07,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,59,115,59,https://historico.conaliteg.gob.mx/c/H2008P1ED252/059.jpg,0,served_image,200,image/jpeg,217523,4065010c9b8600073eaaa9abefc72efb84adc051abd9fb56a9b86755aa03afe8,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,60,115,60,https://historico.conaliteg.gob.mx/c/H2008P1ED252/060.jpg,0,served_image,200,image/jpeg,323197,5678f30f0248d7e83eea3173026828847f20694a899a65aadc2d846c777641b5,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,61,115,61,https://historico.conaliteg.gob.mx/c/H2008P1ED252/061.jpg,0,served_image,200,image/jpeg,250798,cfea88bd1483efd255a16a7a59ac39ef06d47a4c489d6a096df88550e2fc9385,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,62,115,62,https://historico.conaliteg.gob.mx/c/H2008P1ED252/062.jpg,0,served_image,200,image/jpeg,297764,9c328380fc7ed610fa0909f4325c22e58eaad7a543b589f5a289f5e23a2d9446,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,63,115,63,https://historico.conaliteg.gob.mx/c/H2008P1ED252/063.jpg,0,served_image,200,image/jpeg,311147,24242ad5ba32fad8e927d035c7dd24fd96ca2e8e41f317121ac2b9ff89c78977,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,64,115,64,https://historico.conaliteg.gob.mx/c/H2008P1ED252/064.jpg,0,served_image,200,image/jpeg,321022,13e59509e37ae343918047453e56b56835b076671525515c84d5efa91c767a81,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,65,115,65,https://historico.conaliteg.gob.mx/c/H2008P1ED252/065.jpg,0,served_image,200,image/jpeg,318168,af123252692c0c076923a4300f4b9526686805d20b6c99cabc359c5f0ab3e82f,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,66,115,66,https://historico.conaliteg.gob.mx/c/H2008P1ED252/066.jpg,0,served_image,200,image/jpeg,272644,f53182fb6e3dcdb183f134068969a67648cf7a36dc701a60915fbc37c9ba8321,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,67,115,67,https://historico.conaliteg.gob.mx/c/H2008P1ED252/067.jpg,0,served_image,200,image/jpeg,261220,1e6eceb47eb20f71b0e29e71205d104d44debf151ba1c431f53613cc96dc5601,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,68,115,68,https://historico.conaliteg.gob.mx/c/H2008P1ED252/068.jpg,0,served_image,200,image/jpeg,311797,9e3aeffacb648ad4de9fa9b9af61b67f74e770dd507ae4b715f1315c3ec4cb1f,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,69,115,69,https://historico.conaliteg.gob.mx/c/H2008P1ED252/069.jpg,0,served_image,200,image/jpeg,274169,0a62340b15ad020018daf0580f02933f10828fe04c44ad4a9fbb5950fee65409,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,70,115,70,https://historico.conaliteg.gob.mx/c/H2008P1ED252/070.jpg,0,served_image,200,image/jpeg,364651,152427e33f8508180879555736885215f50396ab9fffb23f9c73f27a983f01a9,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,71,115,71,https://historico.conaliteg.gob.mx/c/H2008P1ED252/071.jpg,0,served_image,200,image/jpeg,291994,475030384de569a2a811441252adcc049f438fbab166b9e0e77cf5184dc96b04,1,,source_jpeg
