manifest_version,page_id,book_id,viewer_key,catalog_generation,grade_code,title_core,viewer_page,declared_page_count,source_image_index,source_asset_url,is_final_declared_position,position_ratio,position_quartile,asset_status,reachable_image,http_status,content_type,byte_size,sha256,fetch_attempts,error
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI374-VP044,U1-H1966P6CI374,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,44,179,44,https://historico.conaliteg.gob.mx/c/H1966P6CI374/044.jpg,0,0.245810,Q1,source_jpeg,1,200,image/jpeg,53062,cd0543506e99225bf31614b62d9cfcdceeb0d73951b72b9ac3fb71d01528c45b,1,
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI374-VP045,U1-H1966P6CI374,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,45,179,45,https://historico.conaliteg.gob.mx/c/H1966P6CI374/045.jpg,0,0.251397,Q2,source_jpeg,1,200,image/jpeg,51114,a952506c4a9982137e70f36e8e397a59cdf25a94634ffbf35b742ca0855d3738,1,
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI374-VP046,U1-H1966P6CI374,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,46,179,46,https://historico.conaliteg.gob.mx/c/H1966P6CI374/046.jpg,0,0.256983,Q2,source_jpeg,1,200,image/jpeg,45128,bfe6c5cc6448c868d17d410897fda421f390c20c813c9df5fee41756cfd83c26,1,
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI374-VP047,U1-H1966P6CI374,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,47,179,47,https://historico.conaliteg.gob.mx/c/H1966P6CI374/047.jpg,0,0.262570,Q2,source_jpeg,1,200,image/jpeg,53655,e33ce97845af1a7e7c7d84ef0888719753fcd846fe1fc65c6969cdaf70ac127b,1,
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI374-VP048,U1-H1966P6CI374,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,48,179,48,https://historico.conaliteg.gob.mx/c/H1966P6CI374/048.jpg,0,0.268156,Q2,source_jpeg,1,200,image/jpeg,46607,a29e208819ba18013163eae30240f209aeaab5664e45f2ece98597f5c6fba071,1,
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI374-VP049,U1-H1966P6CI374,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,49,179,49,https://historico.conaliteg.gob.mx/c/H1966P6CI374/049.jpg,0,0.273743,Q2,source_jpeg,1,200,image/jpeg,47412,dd50055e72ea9c73d5e59f00d59a1b13cb9f76cc7b722680bb8beca8c6d5ef00,1,
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI374-VP050,U1-H1966P6CI374,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,50,179,50,https://historico.conaliteg.gob.mx/c/H1966P6CI374/050.jpg,0,0.279330,Q2,source_jpeg,1,200,image/jpeg,85091,c36daa8194cef1b766f44bda851eb9ae2c5981113c1f7a0a1108d9d546aeafb8,1,
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI374-VP051,U1-H1966P6CI374,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,51,179,51,https://historico.conaliteg.gob.mx/c/H1966P6CI374/051.jpg,0,0.284916,Q2,source_jpeg,1,200,image/jpeg,80797,c4cbe85a938a42fc231c66b9cc2ba22bebbc46b7ae5ddf2db0edd0a23644e27d,1,
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI374-VP052,U1-H1966P6CI374,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,52,179,52,https://historico.conaliteg.gob.mx/c/H1966P6CI374/052.jpg,0,0.290503,Q2,source_jpeg,1,200,image/jpeg,83305,6829a04c7875c9299081a72490e236dd815d59259ca2088e406fa1b710e7bc10,1,
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI374-VP053,U1-H1966P6CI374,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,53,179,53,https://historico.conaliteg.gob.mx/c/H1966P6CI374/053.jpg,0,0.296089,Q2,source_jpeg,1,200,image/jpeg,75199,2c43b1f49dea5417012891e6b47ec72cf30780a1d09c6b25c52de6812809fcf7,1,
