page_id,viewer_key,catalog_generation,grade,title_core,viewer_page,selected_psm,recognized_words,mean_word_confidence,low_confidence_word_rate,ocr_class,front_matter_score,toc_navigation_score,bibliography_credits_score,primary_structure,classification_certainty,classification_rule,evidence_flags,classifier_version
U1-H1993P4HI198-P082,H1993P4HI198,1993,4,Historia,82,3,413,82.46,0.1574,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P083,H1993P4HI198,1993,4,Historia,83,3,360,79.32,0.1889,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P084,H1993P4HI198,1993,4,Historia,84,3,2,68.57,0.5000,text_detected,,,,unknown,low,CONSERVATIVE_UNKNOWN,,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P085,H1993P4HI198,1993,4,Historia,85,3,383,84.88,0.1149,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P086,H1993P4HI198,1993,4,Historia,86,3,287,91.16,0.0383,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P087,H1993P4HI198,1993,4,Historia,87,3,377,89.75,0.0504,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P088,H1993P4HI198,1993,4,Historia,88,3,285,90.18,0.0456,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P089,H1993P4HI198,1993,4,Historia,89,3,367,87.31,0.0817,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P090,H1993P4HI198,1993,4,Historia,90,3,209,89.81,0.0622,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P091,H1993P4HI198,1993,4,Historia,91,3,160,89.19,0.0250,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P092,H1993P4HI198,1993,4,Historia,92,3,149,85.15,0.0940,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P093,H1993P4HI198,1993,4,Historia,93,3,247,89.24,0.0607,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P094,H1993P4HI198,1993,4,Historia,94,3,329,89.02,0.0547,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P095,H1993P4HI198,1993,4,Historia,95,3,62,76.44,0.2419,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P096,H1993P4HI198,1993,4,Historia,96,3,389,86.79,0.0874,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
