analysis_version,viewer_key,catalog_generation,grade_code,title_core,processing_mode,canonical_processing_viewer_key,inherited_from_canonical,canonical_fragment_occurrences,canonical_unique_text_units,persistent_internal_source_gaps
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2018P4LEA,2018,4,Español. Libro de lectura,paired_route_alias_2018_to_2019,H2019P4LEA,1,1383,1357,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2018P5ESA,2018,5,Español,paired_route_alias_2018_to_2019,H2019P5ESA,1,2408,2213,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2018P5LEA,2018,5,Español. Libro de lectura,paired_route_alias_2018_to_2019,H2019P5LEA,1,1885,1862,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2018P6ESA,2018,6,Español,paired_route_alias_2018_to_2019,H2019P6ESA,1,2732,2520,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2018P6LEA,2018,6,Español. Libro de lectura,paired_route_alias_2018_to_2019,H2019P6LEA,1,1751,1731,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2019P1ESA,2019,1,Lengua materna. Español,direct_canonical,H2019P1ESA,0,2142,1940,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2019P1ESM,2019,1,Lengua materna. Español. Docente,direct_canonical,H2019P1ESM,0,5440,4285,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2019P1LEA,2019,1,Lengua materna. Español lecturas,direct_canonical,H2019P1LEA,0,614,577,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2019P2ESA,2019,2,Lengua materna. Español,direct_canonical,H2019P2ESA,0,2406,2133,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2019P2ESM,2019,2,Lengua materna. Español. Docente,direct_canonical,H2019P2ESM,0,4713,3723,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2019P2LEA,2019,2,Lengua materna. Español lecturas,direct_canonical,H2019P2LEA,0,920,878,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2019P3ESA,2019,3,Español,direct_canonical,H2019P3ESA,0,2270,2035,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2019P3LEA,2019,3,Español. Libro de lectura,direct_canonical,H2019P3LEA,0,1005,996,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2019P4ESA,2019,4,Español,direct_canonical,H2019P4ESA,0,1879,1650,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2019P4LEA,2019,4,Español. Libro de lectura,direct_canonical,H2019P4LEA,0,1383,1357,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2019P5ESA,2019,5,Español,direct_canonical,H2019P5ESA,0,2408,2213,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2019P5LEA,2019,5,Español. Libro de lectura,direct_canonical,H2019P5LEA,0,1885,1862,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2019P6ESA,2019,6,Español,direct_canonical,H2019P6ESA,0,2732,2520,0
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2019P6LEA,2019,6,Español. Libro de lectura,direct_canonical,H2019P6LEA,0,1751,1731,0
